PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-18,12:10:07.75,1,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Gravelle, Cameron",10005014,Left,NIA_COM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,Niagara CC Scrimmage 16 part 1,92.07834,-2.073919,-3.286614,2301.692103,212.517415,1:00,5.91045,2.39122,6.08758,-16.77879,16.09084,9.57174,2.58959,0.14501,83.96876,-5.266866,-1.566147,0.412638,97.81499,18.591567,-5.567521,2028.549536,108.622,32.25205,-17.35657,300.22992,300.22992,-14.338129,3.406648,-5.89992,9.22607,-2.1424,50,5.74116,7.26634,-133.52103,-5.3408,-10.62327,29.44379,-15.56174,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,eab8f310-ac3c-11f0-ae3b-9b4a908d198a,91.34514,38.04565,,8.10958,,,,1.22136,2.58981,-0.12852,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:10:07.75,2025-10-18T12:10:07.7530000-04:00,2025-10-18T16:10:07.7530000Z,LineDrive,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,afb501f1-4e1c-448d-93bb-c15be890d298,54.41463,-134.49101,14.72189,5.90866,-4.82814,-7.78087,-2.38754,7.6163,-5.31163,132.495501,1.22116,135.34014,-27.31355,6.64343,-1.51219,0.31923,-0.05905,0.00737,-0.00037,2.58988,45.73687,-15.25604,-0.01418,0.3477,-0.11148,0.01756,4E-05,-0.00023,-0.12848,-13.19419,-8.29218,3.90351,-1.25754,0.31003,-0.0568,0.00646,-0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
2,2025-10-18,12:10:46.90,2,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Rossano, Cooper",10108170,Right,NIA_COM,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.12382,-1.334343,-3.585782,2124.653951,157.240707,11:15,5.82126,2.39553,5.68022,-33.88155,7.44225,-2.52343,1.75122,-1.1619,75.62898,-7.581885,-4.035706,0.46267,,,,,,,,,,,,0.17024,4.60945,-2.09126,50,5.68741,7.64315,-120.34657,-3.92741,0.24686,25.80572,-25.48989,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,021812c0-ac3d-11f0-ae3b-9b4a908d198a,81.46717,,,7.49483,,,,,,,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:10:46.90,2025-10-18T12:10:46.9000000-04:00,2025-10-18T16:10:46.9000000Z,,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,f715d2b4-a7eb-48e5-89b8-64ed369210b7,54.82027,-121.37577,12.90286,5.82378,-2.91081,-12.74495,-2.39589,7.6333,0.12343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-10-18,12:11:01.76,2,2,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Rossano, Cooper",10108170,Right,NIA_COM,Undefined,1,Top,0,0,1,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.80909,-1.674722,-3.452777,2223.671206,155.8519,11:15,5.74753,2.58553,5.61544,-35.7686,6.24087,-1.97134,1.20041,-0.80535,74.11154,-8.318114,-3.80412,0.466493,77.64987,1.046796,-7.420023,1285.286671,,,,34.14184,31.07822,-6.273208,0.298602,-0.39996,4.34677,-2.28892,50,5.58178,7.37858,-120.91289,-4.74149,-0.56714,32.83218,-26.01071,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,0af200e0-ac3d-11f0-ae3b-9b4a908d198a,80.79961,1.26548,,9.69755,,,,1.45813,1.21453,0.78657,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:11:01.76,2025-10-18T12:11:01.7660000-04:00,2025-10-18T16:11:01.7660000Z,GroundBall,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,cd019d6e-834a-4858-bfc1-c22d3ca3b876,54.88016,-122.23084,16.41609,5.75116,-3.69736,-13.00536,-2.58557,7.40135,-0.28357,34.802554,1.46001,112.83036,-13.6358,,,,,,,1.21733,1.95573,-20.23544,,,,,,,0.78724,-14.73515,-1.3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-10-18,12:11:35.80,3,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Schaefer, Mikey",10126964,Left,NIA_COM,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.10569,4.848702,-0.156441,2479.477519,40.861286,7:15,5.7972,2.34426,4.73423,-65.9837,-14.51028,-14.15855,4.90975,1.01596,68.4469,-7.03263,-2.639999,0.516372,,,,,,,,,,,,6.7867,-7.97485,-2.31532,50,6.22851,0.90909,-109.89721,6.84299,8.16024,22.53259,-41.76289,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,1f27cd10-ac3d-11f0-ae3b-9b4a908d198a,72.99471,,,7.65879,,,,,,,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:11:35.80,2025-10-18T12:11:35.8000000-04:00,2025-10-18T16:11:35.8000000Z,,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,2ea984e5-d9c4-41e7-8910-041a4720bd02,55.76939,-111.07383,11.2663,5.81424,9.02378,-20.88145,-2.35167,0.48297,4.08012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-18,12:11:52.34,3,2,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Schaefer, Mikey",10126964,Left,NIA_COM,Undefined,1,Top,1,1,0,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.1321,1.548839,-1.259347,2585.689417,28.541207,7:00,5.79294,2.36665,4.87367,-68.48626,-18.5497,-11.10194,1.55214,0.24957,69.75555,-10.752947,-3.220481,0.508605,78.2206,-42.640559,90.873983,,,,,3.3204,3.08842,30.059442,0.023893,5.05359,-9.25532,-2.2327,50,5.88653,2.91196,-111.68493,0.49246,6.21726,24.98319,-43.56053,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,2917e620-ac3d-11f0-ae3b-9b4a908d198a,74.10942,1.86087,,7.37655,,,,2.90465,1.86087,-0.35739,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:11:52.34,2025-10-18T12:11:52.3400000-04:00,2025-10-18T16:11:52.3400000Z,GroundBall,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,169bd40a-ec3e-413e-b562-c706983e56c9,55.6316,-112.93765,12.49159,5.80708,2.67671,-21.78027,-2.3709,2.60021,3.10863,,2.90466,-1.29008,,,,,,,,1.86152,-77.88292,,,,,,,,-0.35809,84.56696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-10-18,12:12:15.12,3,3,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Schaefer, Mikey",10126964,Left,NIA_COM,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.43487,-0.116467,-3.526244,2202.474383,189.067106,12:15,5.90275,2.30751,5.89107,-14.29375,19.60749,2.9389,4.60325,-0.72601,82.42907,-2.886109,-3.000722,0.419063,,,,,,,,,,,,-2.5837,10.3602,-2.02449,50,5.88501,8.02549,-132.39474,-0.64245,-4.53308,31.30478,-13.99721,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,368a2110-ac3d-11f0-ae3b-9b4a908d198a,89.94459,,,9.0058,,,,,,,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:12:15.12,2025-10-18T12:12:15.1200000-04:00,2025-10-18T16:12:15.1200000Z,,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,dcef071a-e280-468d-8599-3193dce11b6a,54.60602,-133.47939,15.65239,5.89887,-0.15747,-6.99861,-2.30528,8.18255,-2.26654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-18,12:12:34.73,3,4,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Schaefer, Mikey",10126964,Left,NIA_COM,Undefined,1,Top,1,2,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Sacrifice,1,1,,77.15228,2.359658,-1.389518,2527.341269,31.587771,7:00,5.73658,2.38445,5.12717,-66.0196,-16.86336,-11.44237,2.45938,0.1219,69.98917,-9.565287,-3.416944,0.504616,82.00255,30.144695,-19.578859,3899.126955,99.12923,52.52892,-47.6796,258.88869,204.0266,-34.919273,4.120146,5.27122,-8.80811,-2.2444,50,5.90631,3.16609,-111.78456,2.25731,6.5415,23.76585,-43.10478,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,4262d040-ac3d-11f0-ae3b-9b4a908d198a,74.69536,58.26869,,7.16311,,,,1.60528,2.5162,-0.13677,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:12:34.73,2025-10-18T12:12:34.7340000-04:00,2025-10-18T16:12:34.7340000Z,LineDrive,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,a9bce3ed-00b6-4c0a-a38f-5b442ab29ec8,55.37876,-112.92231,11.88293,5.74885,4.32089,-21.55239,-2.38848,2.85292,3.27075,137.399051,1.60465,98.0111,-23.11043,5.82778,-1.52874,0.42521,-0.10414,0.01591,-0.00101,2.51723,60.36885,-17.59807,0.36314,0.4511,-0.26956,0.0817,-0.01222,0.00071,-0.13667,-34.85602,-3.29636,2.04717,-0.65794,0.14344,-0.02046,0.00148,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-10-18,12:13:15.24,4,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Harper, Dalton",1000115726,Right,NIA_COM,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.94864,2.325365,-2.664149,2371.237186,102.969057,9:30,5.82612,2.41634,5.35208,-39.66293,3.47559,-8.57831,4.70553,-0.79918,73.99526,-4.966907,-4.183384,0.47272,,,,,,,,,,,,3.4291,1.47248,-2.17008,50,6.00784,5.88191,-118.57506,3.42775,4.81721,25.48471,-30.10548,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,5a681b00-ac3d-11f0-ae3b-9b4a908d198a,79.73523,,,7.95338,,,,,,,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:13:15.24,2025-10-18T12:13:15.2480000-04:00,2025-10-18T16:13:15.2480000Z,,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,22c0dc88-e2db-4e4f-97bd-ebd0b6a1e462,55.14705,-119.67617,12.74236,5.83164,4.72852,-15.05274,-2.41972,5.67378,2.40861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-18,12:13:30.84,4,2,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Harper, Dalton",1000115726,Right,NIA_COM,Undefined,1,Top,2,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.61776,-1.311915,-3.287997,2285.832801,107.140317,9:30,5.77939,2.09331,5.54735,-37.78423,4.61386,-9.9093,1.40242,-1.80863,74.71998,-8.247373,-5.051069,0.468646,,,,,,,,,,,,3.87166,3.25768,-1.80164,50,5.64102,7.27867,-119.50323,-4.03268,5.48594,27.35805,-27.55805,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,63b3b6b0-ac3d-11f0-ae3b-9b4a908d198a,80.42847,,,7.89779,,,,,,,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:13:30.84,2025-10-18T12:13:30.8410000-04:00,2025-10-18T16:13:30.8410000Z,,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,8d18f35f-7781-4237-a434-503fabb5dfb5,54.95106,-120.63136,13.67902,5.78388,-2.89631,-13.77902,-2.09712,7.05245,2.74297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-18,12:13:50.44,4,3,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Harper, Dalton",1000115726,Right,NIA_COM,Undefined,1,Top,2,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.71765,-3.443133,-3.198691,2341.353412,190.338485,12:15,5.90609,2.21933,6.04763,-11.0765,21.77946,3.75622,1.78652,-0.43214,83.75982,-5.623264,-2.524492,0.412552,,,,,,,,,,,,-2.91626,12.58784,-1.97187,50,5.63104,7.32856,-134.11818,-8.3201,-5.24926,32.19365,-9.51591,GEO_PAT,NIA_COM,SpuhlerFieldMain,TeamExclusive,Team,20251018-SpuhlerFieldMain-Private-1,6f5e9f20-ac3d-11f0-ae3b-9b4a908d198a,91.36411,,,8.95783,,,,,,,e9589120-7e22-442b-894a-3d9ff1c37833,2025-10-18,16:13:50.44,2025-10-18T12:13:50.4480000-04:00,2025-10-18T16:13:50.4480000Z,,v3,471300,,,"Vaughan, Logan",1000232024,Right,GEO_PAT,ea8ad206-0ac5-46fe-a425-31f7c851547a,54.45077,-135.18232,16.09683,5.90086,-8.00556,-4.75796,-2.21698,7.50207,-2.62463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
